id,northing,easting,town,label
SGGA EX/06/2,333455.777,1199669.571,Cantonments SMD HQ 37,SGGA EX/06/2
SGGA EX/06/3,333506.562,1199601.618,Cantonments SMD HQ 38,SGGA EX/06/3
SGGA EX/06/3,333525.194,1199536.128,Cantonments SMD HQ 39,SGGA EX/06/3
SGGA EX/06/4,333636.354,1199616.874,Cantonments SMD HQ 40,SGGA EX/06/4
SGGA EX/06/5,333419.084,1199537.286,Cantonments SMD HQ 41,SGGA EX/06/5
SGGA EX/06/6,333462.68,1199649.877,Cantonments SMD HQ 42,SGGA EX/06/6
GM 2,373720.119,1263366.46,GREENWHICH MERIDIAN,GM 2
GM 3,373955.305,1263365.936,GREENWHICH MERIDIAN,GM 3
GA 158/96/1,391420.71,1278209.51,DAWHENYA,GA 158/96/1
GA 158/96/2,391626.23,1278384.36,DAWHENYA,GA 158/96/2
GA 10/91/43,392903.477,1280834.776,DAWHENYA,GA 10/91/43
GA 10/91/44,393388.107,1279938.207,DAWHENYA,GA 10/91/44
GA 563/94/1,373066.27,1156610.24,FISE,GA 563/94/1
GA 563/94/4,372957.97,1156444.17,FISE,GA 563/94/4
GA 563/94/2,372975.87,1156659.27,FISE,GA 563/94/2
GA 07/215/13,375406.08,1154826.07,AMASAMAN,GA 07/215/13
GA 639/94/48,368290.38,1162778.53,POKUASE,GA 639/94/48
GA 4156/06/134,368230.023,1162680.796,ACP,GA 4156/06/134
GA 203/99/CP2,415676.08,1218905.07,OYIBI,GA 203/99/CP2
GA 203/99/CP3,416687.56,1219211.85,OYIBI,GA 203/99/CP3
GA 203/99/CP4,417321.76,1219315.65,OYIBI,GA 203/99/CP4
GA 203/99/3,417015.94,1219740.73,OYIBI,GA 203/99/3
GA 189/96/1,412502.11,1217903.69,OYIBI BIBLE COLL.,GA 189/96/1
GA 189/96/4,413172.75,1218314.72,OYIBI BIBLE COLL.,GA 189/96/4
GA 189/96/2,412489.26,1218167.68,OYIBI BIBLE COLL.,GA 189/96/2
GA 189/96/3,412730.2,1218219.4,OYIBI BIBLE COLL.,GA 189/96/3
GA 712/99/1,382207.86,1204175.05,FAFRAHA,GA 712/99/1
GA 712/99/4,382631.36,1204364.55,FAFRAHA,GA 712/99/4
GA 964/04/1,385580.72,1207862.26,FAFRAHA,GA 964/04/1
GA 964/04/2,385552.95,1207963.6,FAFRAHA,GA 964/04/2
GA 964/04/3,385371.07,1207873.67,FAFRAHA,GA 964/04/3
GA 16/93/1,326741.04,1159645.54,MALLAM JUNC.,GA 16/93/1
GA 16/93/2,326475.39,1159273.06,MALLAM JUNC.,GA 16/93/2
